,n_products,n_brands,n_reviews,n_firststar,n_secondstar,n_thirdstar,n_fourstar,n_fivestar,price,avg_reviews,n_brand,avg_review,price_v
Tocopheryl Acetate,207,"[Embryolisse, Eve Lom, Jack Black, MILK MAKEUP, philosophy, Kate Somerville, Jurlique, Peter Thomas Roth, DERMAdoctor, Givenchy, philosophy, Too Cool For School, VERSO SKINCARE, L’Occitane, Perricone MD, Kenzoki, Dr. Dennis Gross Skincare, Origins, Origins, philosophy, Dr. Dennis Gross Skincare, Lancôme, Laura Mercier, philosophy, philosophy, Eve Lom, MILK MAKEUP, KORRES, Lancôme, Erno Laszlo, Laura Mercier, First Aid Beauty, Guerlain, ARDENCY INN, philosophy, Lancôme, Too Cool For School, Erborian, VERSO SKINCARE, Tria, Murad, Kate Somerville, Origins, Algenist, Origins, Dr. Jart+, Jack Black, SK-II, Fresh, boscia, VERSO SKINCARE, Origins, Clarins, Dior, Peter Thomas Roth, KORRES, GLAMGLOW, Lancôme, Clarins, Murad, Peter Thomas Roth, Fresh, Algenist, Fresh, Algenist, Murad, NUDE Skincare, KORRES, Lancer, DERMAdoctor, First Aid Beauty, Kate Somerville, Fresh, SK-II, SK-II, MDSolarSciences, Caudalie, Clarins, NUDE Skincare, Algenist, Blithe, Shiseido, philosophy, Dr. Dennis Gross Skincare, KORRES, DERMAdoctor, First Aid Beauty, Shiseido, Dr. Dennis Gross Skincare, Dr. Brandt Skincare, Dr. Brandt Skincare, Origins, philosophy, Algenist, Clarins, Clarins, Kate Somerville, Origins, Laura Mercier, Clarins, ...]",35210.0,2278.0,2223.0,2689.0,6517.0,16882.0,"[40.0, 110.0, 38.0, 24.0, 25.0, 175.0, 53.0, 80.0, 85.0, 64.0, 47.0, 20.0, 100.0, 116.0, 69.0, 45.0, 42.0, 41.0, 53.0, 16.0, 42.0, 104.0, 98.0, 14.0, 30.0, 68.0, 38.0, 34.0, 49.0, 55.0, 42.0, 34.0, 150.0, 29.0, 47.0, 50.0, 17.0, 39.0, 100.0, 60.0, 70.0, 150.0, 59.0, 48.0, 43.0, 60.0, 30.0, 160.0, 33.0, 46.0, 195.0, 43.0, 86.0, 60.0, 62.0, 36.0, 69.0, 47.0, 88.0, 78.0, 48.0, 42.0, 42.0, 39.0, 115.0, 55.0, 0.0, 62.0, 185.0, 38.0, 30.0, 48.0, 90.0, 140.0, 150.0, 39.0, 39.0, 134.0, 0.0, 78.0, 46.0, 57.0, 36.0, 125.0, 45.0, 57.0, 16.0, 110.0, 30.0, 61.0, 59.0, 51.0, 24.0, 25.0, 60.0, 53.0, 48.0, 59.0, 98.0, 53.0, ...]","[3.2222, 0.0, 4.0, 4.3824, 4.2091, 0.0, 4.0286, 4.0556, 3.9225, 4.0, 2.8378, 4.3043, 4.25, 4.3333, 3.3, 3.8571, 3.6471, 4.5714, 4.0435, 0.0, 2.614, 3.5625, 3.7143, 0.0, 4.2, 3.5714, 3.9394, 4.2914, 4.2308, 4.8571, 4.3, 3.7143, 2.6667, 4.25, 0.0, 4.4219, 3.2857, 4.3333, 4.3, 0.0, 4.3571, 4.125, 4.6, 4.5909, 4.5773, 5.0, 5.0, 4.2, 3.9381, 3.9933, 4.0, 4.3704, 3.9524, 4.4627, 4.232, 4.3082, 3.9591, 4.2931, 4.0854, 3.8, 4.3235, 4.5593, 4.1096, 4.0784, 4.5714, 3.9057, 3.8571, 4.32, 5.0, 3.3798, 3.9259, 4.0278, 4.0, 4.25, 4.493, 4.1739, 4.1215, 4.5, 3.7708, 4.3333, 5.0, 3.9091, 3.9431, 4.0357, 4.75, 4.2283, 4.0, 0.0, 4.0, 3.9717, 4.2432, 4.5625, 4.3, 4.4, 4.1765, 4.0, 3.5645, 3.0, 4.0, 3.5, ...]",53.0,3.99812657005,60.5748792271
Isopentyldiol,2,"[Embryolisse, stila]",355.0,27.0,30.0,29.0,69.0,200.0,"[40.0, 38.0]","[3.2222, 4.1306]",2.0,3.6764,39.0
Caprylyl Glycol,191,"[Embryolisse, Dr. Jart+, Jack Black, DERMAdoctor, Algenist, philosophy, boscia, philosophy, VERSO SKINCARE, Perricone MD, Kenzoki, Dr. Dennis Gross Skincare, Origins, Origins, philosophy, Lancôme, philosophy, Dr. Dennis Gross Skincare, MDSolarSciences, Ole Henriksen, Dr. Jart+, Kenzoki, philosophy, philosophy, MILK MAKEUP, philosophy, Perricone MD, KORRES, philosophy, Dr. Jart+, Lancôme, First Aid Beauty, Guerlain, philosophy, Algenist, VERSO SKINCARE, Kate Somerville, Perricone MD, Guerlain, First Aid Beauty, COVER FX, First Aid Beauty, Origins, Algenist, Dr. Jart+, Fresh, boscia, Origins, boscia, bareMinerals, GLAMGLOW, Peter Thomas Roth, Algenist, Peter Thomas Roth, Lancôme, L’Occitane, Algenist, Murad, Murad, AmorePacific, Lancer, DERMAdoctor, First Aid Beauty, Dr. Dennis Gross Skincare, Dr. Dennis Gross Skincare, Algenist, Blithe, boscia, Perricone MD, Lancôme, Caudalie, Algenist, boscia, Caudalie, Blithe, Algenist, Caudalie, Lancer, philosophy, Dr. Dennis Gross Skincare, Perricone MD, First Aid Beauty, Kenzoki, Dr. Brandt Skincare, philosophy, Algenist, Clarins, Origins, Origins, Fresh, First Aid Beauty, boscia, Perricone MD, Lancer, Primary Raw, Lancôme, Farmacy, philosophy, J.One, Dr. Dennis Gross Skincare, ...]",36656.0,2419.0,2351.0,2878.0,6541.0,17704.0,"[40.0, 30.0, 38.0, 65.0, 48.0, 25.0, 46.0, 47.0, 100.0, 69.0, 45.0, 42.0, 41.0, 53.0, 75.0, 97.0, 16.0, 42.0, 68.0, 22.0, 48.0, 59.0, 14.0, 30.0, 22.0, 50.0, 115.0, 34.0, 35.0, 50.0, 49.0, 34.0, 150.0, 47.0, 70.0, 100.0, 65.0, 290.0, 29.5, 38.0, 38.0, 22.0, 59.0, 48.0, 60.0, 33.0, 46.0, 43.0, 38.0, 20.0, 69.0, 48.0, 42.0, 98.0, 55.0, 42.0, 115.0, 55.0, 55.0, 50.0, 185.0, 38.0, 30.0, 65.0, 75.0, 65.0, 49.0, 36.0, 115.0, 86.0, 39.0, 75.0, 34.0, 39.0, 42.0, 78.0, 44.0, 125.0, 36.0, 125.0, 155.0, 16.0, 59.0, 65.0, 24.0, 25.0, 53.0, 62.0, 65.0, 67.0, 26.0, 38.0, 85.0, 155.0, 38.0, 88.0, 40.0, 48.0, 50.0, 42.0, ...]","[3.2222, 3.95, 4.0, 4.1429, 3.7143, 4.2091, 3.8462, 2.8378, 4.25, 3.3, 3.8571, 3.6471, 4.5714, 4.0435, 3.0, 4.125, 0.0, 2.614, 4.2, 4.1364, 3.6047, 4.2, 0.0, 4.2, 4.6, 0.0, 4.0, 4.2914, 0.0, 4.5, 4.2308, 3.7143, 2.6667, 0.0, 3.2414, 4.3, 4.1818, 4.0345, 0.0, 3.7664, 3.7396, 4.1505, 4.6, 4.5909, 5.0, 3.9381, 3.9933, 4.3704, 3.8571, 4.0617, 3.9591, 4.3235, 4.1096, 4.0, 3.2095, 4.675, 4.5714, 3.9057, 3.9057, 4.3214, 5.0, 3.3798, 3.9259, 4.75, 3.9, 4.2235, 4.6316, 4.15, 4.3678, 5.0, 4.1215, 3.9053, 4.2056, 4.0847, 4.9, 4.3333, 4.0571, 3.6, 3.9431, 4.0357, 4.6, 4.0, 4.8, 4.087, 4.3, 4.4, 3.5, 4.0909, 4.0, 3.9655, 3.4597, 4.2188, 3.72, 4.6, 4.4444, 4.3061, 3.3873, 3.0, 3.9091, 3.5273, ...]",42.0,3.99616387435,60.7329842932
1,66,"[Embryolisse, Algenist, Caolion, boscia, belif, Caolion, Dr. Jart+, Kenzoki, philosophy, philosophy, philosophy, belif, philosophy, belif, Dr. Jart+, Erborian, Primary Raw, boscia, belif, Erborian, AmorePacific, Lancer, Blithe, Blithe, boscia, boscia, Blithe, Blithe, philosophy, Erborian, Dr. Brandt Skincare, philosophy, Algenist, belif, belif, belif, boscia, Dr. Jart+, Farmacy, philosophy, belif, J.One, IT Cosmetics, Dr. Jart+, AmorePacific, belif, Dr. Jart+, AmorePacific, IT Cosmetics, Peter Thomas Roth, IT Cosmetics, philosophy, philosophy, Dr. Jart+, boscia, boscia, IT Cosmetics, COVER FX, Too Cool For School, AmorePacific, Caudalie, AmorePacific, Dr. Jart+, philosophy, belif, boscia]",7653.0,535.0,578.0,640.0,1486.0,4432.0,"[40.0, 48.0, 40.0, 46.0, 48.0, 38.0, 48.0, 59.0, 14.0, 30.0, 50.0, 46.0, 35.0, 42.0, 50.0, 39.0, 46.0, 46.0, 58.0, 36.0, 50.0, 185.0, 49.0, 49.0, 36.0, 34.0, 42.0, 46.0, 36.0, 43.0, 59.0, 24.0, 25.0, 42.0, 38.0, 38.0, 38.0, 38.0, 40.0, 48.0, 38.0, 50.0, 38.0, 52.0, 60.0, 38.0, 48.0, 195.0, 48.0, 48.0, 38.0, 52.0, 75.0, 36.0, 12.0, 38.0, 38.0, 45.0, 36.0, 50.0, 59.0, 195.0, 49.0, 40.0, 42.0, 36.0]","[3.2222, 3.7143, 3.75, 3.8462, 4.6154, 4.2083, 3.6047, 4.2, 0.0, 4.2, 0.0, 4.3636, 0.0, 3.2857, 4.5, 4.3333, 3.8462, 3.9933, 5.0, 4.525, 4.3214, 5.0, 5.0, 4.6316, 4.15, 4.2056, 4.9, 5.0, 3.9431, 4.1081, 4.2432, 4.3, 4.4, 4.3529, 4.2609, 3.8333, 4.2188, 3.1607, 3.3873, 3.0, 4.2593, 3.9091, 4.3714, 4.1304, 4.2202, 4.5573, 4.5106, 4.3368, 4.6538, 4.012, 3.84, 4.614, 4.037, 4.163, 3.7664, 4.14, 3.5556, 3.6914, 3.9615, 4.4316, 4.3258, 3.8125, 4.4906, 3.6575, 4.1918, 4.0741]",21.0,3.95967878788,49.6212121212
2-Hexanediol,63,"[Embryolisse, Algenist, Caolion, boscia, belif, Caolion, Dr. Jart+, Kenzoki, philosophy, philosophy, philosophy, belif, philosophy, belif, Dr. Jart+, Erborian, Primary Raw, boscia, belif, Erborian, AmorePacific, Lancer, Blithe, Blithe, boscia, boscia, Blithe, Blithe, philosophy, Erborian, Dr. Brandt Skincare, philosophy, Algenist, belif, belif, belif, boscia, Farmacy, philosophy, belif, J.One, IT Cosmetics, AmorePacific, belif, Dr. Jart+, AmorePacific, IT Cosmetics, Peter Thomas Roth, IT Cosmetics, philosophy, philosophy, Dr. Jart+, boscia, boscia, IT Cosmetics, Too Cool For School, AmorePacific, Caudalie, AmorePacific, Dr. Jart+, philosophy, belif, boscia]",7282.0,472.0,540.0,609.0,1415.0,4262.0,"[40.0, 48.0, 40.0, 46.0, 48.0, 38.0, 48.0, 59.0, 14.0, 30.0, 50.0, 46.0, 35.0, 42.0, 50.0, 39.0, 46.0, 46.0, 58.0, 36.0, 50.0, 185.0, 49.0, 49.0, 36.0, 34.0, 42.0, 46.0, 36.0, 43.0, 59.0, 24.0, 25.0, 42.0, 38.0, 38.0, 38.0, 40.0, 48.0, 38.0, 50.0, 38.0, 60.0, 38.0, 48.0, 195.0, 48.0, 48.0, 38.0, 52.0, 75.0, 36.0, 12.0, 38.0, 38.0, 36.0, 50.0, 59.0, 195.0, 49.0, 40.0, 42.0, 36.0]","[3.2222, 3.7143, 3.75, 3.8462, 4.6154, 4.2083, 3.6047, 4.2, 0.0, 4.2, 0.0, 4.3636, 0.0, 3.2857, 4.5, 4.3333, 3.8462, 3.9933, 5.0, 4.525, 4.3214, 5.0, 5.0, 4.6316, 4.15, 4.2056, 4.9, 5.0, 3.9431, 4.1081, 4.2432, 4.3, 4.4, 4.3529, 4.2609, 3.8333, 4.2188, 3.3873, 3.0, 4.2593, 3.9091, 4.3714, 4.2202, 4.5573, 4.5106, 4.3368, 4.6538, 4.012, 3.84, 4.614, 4.037, 4.163, 3.7664, 4.14, 3.5556, 3.9615, 4.4316, 4.3258, 3.8125, 4.4906, 3.6575, 4.1918, 4.0741]",20.0,3.97390952381,49.8412698413
Polysorbate 60,55,"[Embryolisse, Eve Lom, L’Occitane, Perricone MD, Dr. Dennis Gross Skincare, Dr. Dennis Gross Skincare, Tria, L’Occitane, Skin Inc., Dr. Jart+, SEPHORA COLLECTION, Peter Thomas Roth, Algenist, Peter Thomas Roth, L’Occitane, Algenist, boscia, Algenist, boscia, Clarins, Youth To The People, First Aid Beauty, Caudalie, philosophy, Erborian, Origins, Eve Lom, Laura Mercier, philosophy, boscia, Fresh, Eve Lom, Dr. Dennis Gross Skincare, Dr. Jart+, bareMinerals, GLAMGLOW, First Aid Beauty, IT Cosmetics, tarte, philosophy, Perricone MD, Murad, Perricone MD, philosophy, Dr. Dennis Gross Skincare, philosophy, SEPHORA COLLECTION, Too Cool For School, tarte, Algenist, Dr. Jart+, First Aid Beauty, Shiseido, Perricone MD, Fresh]",7860.0,628.0,609.0,659.0,1425.0,4555.0,"[40.0, 110.0, 116.0, 69.0, 42.0, 42.0, 65.0, 49.0, 45.0, 60.0, 19.0, 48.0, 42.0, 98.0, 42.0, 65.0, 36.0, 75.0, 34.0, 134.0, 48.0, 38.0, 39.0, 68.0, 43.0, 51.0, 72.0, 53.0, 48.0, 36.0, 38.0, 75.0, 42.0, 42.0, 29.5, 69.0, 36.0, 48.0, 39.0, 52.0, 75.0, 72.0, 75.0, 65.0, 78.0, 39.0, 23.0, 36.0, 44.0, 90.0, 34.0, 40.0, 100.0, 75.0, 40.0]","[3.2222, 0.0, 4.3333, 3.3, 3.6471, 2.614, 5.0, 5.0, 4.0, 5.0, 4.875, 4.3235, 4.1096, 4.0, 4.675, 4.2235, 4.15, 3.9053, 4.2056, 4.5, 4.6923, 4.032, 4.0847, 3.3235, 4.1081, 4.5625, 1.0, 4.1364, 3.0, 3.6237, 3.4118, 5.0, 3.5273, 3.6512, 3.9032, 4.2721, 4.3182, 4.6538, 4.3934, 4.614, 4.1726, 4.4519, 4.2579, 3.8125, 4.3426, 3.9262, 4.0597, 3.9615, 3.925, 4.5714, 4.25, 3.9333, 4.6667, 3.96, 4.0811]",28.0,3.99572181818,56.0636363636
Allantoin,58,"[Embryolisse, Eve Lom, DERMAdoctor, Caolion, Kate Somerville, Caolion, Jurlique, MDSolarSciences, Ole Henriksen, Ole Henriksen, Tria, Eve Lom, Guerlain, Koh Gen Do, Murad, Kate Somerville, Primary Raw, boscia, Peter Thomas Roth, GLAMGLOW, Murad, Algenist, bareMinerals, First Aid Beauty, SK-II, boscia, First Aid Beauty, philosophy, Dr. Brandt Skincare, bareMinerals, Dr. Brandt Skincare, Dr. Brandt Skincare, First Aid Beauty, Laura Mercier, philosophy, Erborian, Eve Lom, Laura Mercier, First Aid Beauty, Drunk Elephant, Sunday Riley, GLAMGLOW, First Aid Beauty, IT Cosmetics, Ole Henriksen, philosophy, Peter Thomas Roth, Murad, boscia, First Aid Beauty, First Aid Beauty, bareMinerals, Perricone MD, First Aid Beauty, Primary Raw, Perricone MD, Ole Henriksen, bareMinerals]",12815.0,771.0,709.0,904.0,2044.0,4640.0,"[40.0, 110.0, 65.0, 40.0, 175.0, 38.0, 44.0, 68.0, 22.0, 22.0, 65.0, 68.0, 150.0, 85.0, 70.0, 150.0, 46.0, 38.0, 62.0, 69.0, 78.0, 42.0, 35.0, 30.0, 140.0, 28.0, 38.0, 68.0, 65.0, 32.0, 61.0, 59.0, 20.0, 53.0, 48.0, 34.0, 75.0, 53.0, 30.0, 90.0, 65.0, 69.0, 36.0, 48.0, 55.0, 52.0, 110.0, 72.0, 38.0, 24.0, 12.0, 38.0, 80.0, 28.0, 46.0, 115.0, 50.0, 35.0]","[3.2222, 0.0, 4.1429, 3.75, 0.0, 4.2083, 4.5393, 4.2, 4.1364, 3.8889, 5.0, 3.5714, 2.6667, 4.375, 4.3571, 4.125, 3.8462, 3.8571, 4.232, 3.9591, 3.8, 4.1096, 4.4, 3.9259, 4.25, 3.932, 4.032, 3.3235, 4.087, 3.7895, 3.9717, 4.2432, 4.6667, 4.1364, 3.0, 4.2778, 5.0, 4.3158, 4.596, 4.2724, 4.2347, 4.2721, 4.3182, 4.6538, 4.2459, 4.614, 4.1789, 4.4519, 3.8517, 4.2091, 5.0, 4.6957, 4.3077, 4.4706, 4.9, 4.4757, 3.6818, 4.4]",28.0,4.02015344828,59.9827586207
Hydrogenated Polydecene,31,"[Embryolisse, Kenzoki, Erno Laszlo, Tria, belif, belif, AmorePacific, Dr. Jart+, Erborian, Dr. Dennis Gross Skincare, Shiseido, Kenzoki, belif, Fresh, Primary Raw, belif, GLAMGLOW, AmorePacific, IT Cosmetics, Shiseido, KORRES, IT Cosmetics, Shiseido, Shiseido, Shiseido, tarte, Dr. Jart+, bareMinerals, Shiseido, Shiseido, Erno Laszlo]",3386.0,197.0,183.0,226.0,551.0,2235.0,"[40.0, 59.0, 115.0, 65.0, 46.0, 42.0, 100.0, 60.0, 36.0, 125.0, 110.0, 59.0, 38.0, 67.0, 38.0, 38.0, 69.0, 195.0, 48.0, 45.0, 68.0, 38.0, 90.0, 58.0, 45.0, 44.0, 49.0, 38.0, 24.0, 100.0, 90.0]","[3.2222, 4.2, 5.0, 5.0, 4.3636, 3.2857, 4.2846, 5.0, 4.525, 4.0357, 0.0, 4.8, 4.2609, 3.9655, 4.4444, 4.5573, 4.2721, 4.3368, 4.6538, 4.503, 4.0339, 3.5556, 4.3333, 4.2405, 4.092, 3.925, 4.4906, 4.6957, 4.3529, 4.6667, 4.6842]",17.0,4.18648387097,65.7741935484
Fragrance (Parfum),270,"[Embryolisse, Dr. Jart+, REN, Algenist, Kate Somerville, Jurlique, Jurlique, belif, belif, REN, Givenchy, philosophy, Too Cool For School, VERSO SKINCARE, L’Occitane, Perricone MD, Kenzoki, L’Occitane, Shiseido, Jurlique, philosophy, Lancôme, philosophy, Ole Henriksen, Lancôme, Ole Henriksen, Kenzoki, Erno Laszlo, Ole Henriksen, philosophy, Tria, Lancôme, MILK MAKEUP, Givenchy, philosophy, Perricone MD, Too Cool For School, Kenzoki, belif, KORRES, philosophy, L’Occitane, Jurlique, belif, Peter Thomas Roth, Lancôme, Lancôme, Erno Laszlo, Jurlique, Kenzoki, Human + Kind, Kenzoki, Guerlain, philosophy, Lancôme, Too Cool For School, Erborian, Algenist, Erborian, Shiseido, Erborian, L’Occitane, Lancôme, VERSO SKINCARE, Perricone MD, AmorePacific, Omorovicza, Human + Kind, Guerlain, L’Occitane, Murad, bareMinerals, AmorePacific, Kate Somerville, Algenist, SEPHORA COLLECTION, Primary Raw, belif, belif, Clarins, Dior, Peter Thomas Roth, Lancôme, Clarins, Lancôme, Shiseido, REN, Omorovicza, KORRES, COOLA, L’Occitane, GLAMGLOW, Lancôme, Clarins, KORRES, Fresh, Algenist, Lancôme, bareMinerals, Erborian, ...]",32159.0,2050.0,1916.0,2326.0,5545.0,19322.0,"[40.0, 30.0, 55.0, 48.0, 175.0, 53.0, 47.0, 48.0, 48.0, 45.0, 64.0, 47.0, 20.0, 100.0, 116.0, 69.0, 45.0, 108.0, 25.0, 44.0, 75.0, 97.0, 16.0, 22.0, 104.0, 22.0, 59.0, 115.0, 22.0, 30.0, 65.0, 49.0, 38.0, 36.0, 50.0, 115.0, 49.0, 49.0, 46.0, 34.0, 35.0, 16.0, 44.0, 42.0, 28.0, 49.0, 26.0, 55.0, 65.0, 62.0, 0.0, 22.0, 150.0, 47.0, 50.0, 17.0, 48.0, 70.0, 39.0, 175.0, 24.0, 49.0, 50.0, 100.0, 290.0, 195.0, 260.0, 0.0, 29.5, 140.0, 70.0, 30.0, 100.0, 150.0, 48.0, 19.0, 46.0, 58.0, 58.0, 86.0, 60.0, 62.0, 97.0, 57.0, 65.0, 33.5, 60.0, 235.0, 36.0, 36.0, 28.0, 69.0, 47.0, 88.0, 58.0, 42.0, 42.0, 55.0, 35.0, 36.0, ...]","[3.2222, 3.95, 4.3939, 3.7143, 0.0, 4.0286, 3.8235, 4.6154, 4.6154, 4.1224, 4.0, 2.8378, 4.45, 4.25, 4.3333, 3.3, 3.8571, 4.1905, 4.35, 4.5393, 3.0, 4.125, 0.0, 4.0588, 3.5625, 4.1364, 4.2, 5.0, 3.8889, 4.2, 5.0, 4.6429, 3.9394, 4.4375, 0.0, 4.0, 3.4615, 4.4375, 4.3636, 4.2914, 0.0, 3.3333, 4.1778, 3.2857, 3.25, 4.2308, 3.75, 4.8571, 4.4737, 5.0, 3.8333, 3.6364, 2.6667, 0.0, 4.4219, 3.2857, 3.0, 3.2414, 4.3333, 5.0, 5.0, 5.0, 4.4423, 4.3, 4.0345, 3.5, 3.5, 3.0, 0.0, 0.0, 4.3571, 4.6129, 4.2846, 4.125, 4.5909, 4.875, 3.8462, 5.0, 5.0, 3.9524, 4.4627, 4.232, 4.625, 5.0, 4.1733, 4.0359, 4.1818, 4.3846, 4.3082, 3.7174, 4.3913, 3.9591, 4.2931, 4.0854, 4.1628, 4.5593, 4.1096, 3.2095, 4.4, 4.525, ...]",54.0,4.08535259259,65.0740740741
Edta,4,"[Embryolisse, Kenzoki, Kenzoki, Peter Thomas Roth]",119.0,10.0,7.0,12.0,26.0,64.0,"[40.0, 62.0, 59.0, 110.0]","[3.2222, 5.0, 4.8, 4.1789]",3.0,4.300275,67.75
Hydrogenated Lecithin,55,"[Embryolisse, Too Cool For School, Dr. Dennis Gross Skincare, Shiseido, philosophy, philosophy, Dr. Jart+, Too Cool For School, Koh Gen Do, Koh Gen Do, Dr. Brandt Skincare, AmorePacific, boscia, belif, Origins, Algenist, AmorePacific, DERMAdoctor, Dr. Dennis Gross Skincare, Blithe, boscia, First Aid Beauty, Blithe, Algenist, Blithe, Caudalie, philosophy, DERMAdoctor, Kenzoki, Dr. Brandt Skincare, philosophy, Laura Mercier, Origins, Origins, J.One, Dr. Dennis Gross Skincare, Dr. Jart+, belif, Caudalie, IT Cosmetics, philosophy, Perricone MD, Peter Thomas Roth, philosophy, Shiseido, SK-II, Too Cool For School, Origins, AmorePacific, Dr. Jart+, Dr. Jart+, SK-II, philosophy, First Aid Beauty, Perricone MD]",4105.0,302.0,295.0,348.0,745.0,2423.0,"[40.0, 20.0, 42.0, 25.0, 75.0, 14.0, 50.0, 17.0, 55.0, 85.0, 39.0, 100.0, 46.0, 58.0, 43.0, 115.0, 35.0, 38.0, 75.0, 49.0, 36.0, 38.0, 42.0, 78.0, 46.0, 44.0, 36.0, 57.0, 59.0, 65.0, 24.0, 98.0, 62.0, 65.0, 50.0, 42.0, 42.0, 38.0, 76.0, 48.0, 75.0, 75.0, 110.0, 65.0, 40.0, 385.0, 36.0, 52.0, 50.0, 34.0, 49.0, 160.0, 40.0, 40.0, 75.0]","[3.2222, 4.3043, 3.6471, 4.35, 3.0, 0.0, 4.5, 3.2857, 3.7727, 4.375, 3.9, 4.2846, 3.9933, 5.0, 4.3704, 4.5714, 4.3539, 3.3798, 3.9, 4.6316, 4.15, 4.032, 4.9, 4.3333, 5.0, 4.0571, 3.9431, 4.2283, 4.8, 4.087, 4.3, 4.0, 4.0909, 4.0, 3.9091, 3.5273, 3.6512, 4.5573, 4.7273, 4.6538, 4.037, 4.1726, 4.1789, 3.8125, 4.6636, 3.6667, 3.9615, 4.2403, 4.4316, 4.25, 4.4906, 4.3111, 3.6575, 3.9333, 3.96]",24.0,4.06467090909,60.9636363636
Glyceryl Caprylate,17,"[Embryolisse, Eve Lom, Too Cool For School, KORRES, Erborian, KORRES, Dr. Jart+, KORRES, Dr. Brandt Skincare, Jurlique, REN, Dr Roebuck’s, Caudalie, KORRES, Dr. Jart+, KORRES, philosophy]",2623.0,145.0,174.0,225.0,526.0,1560.0,"[40.0, 68.0, 49.0, 58.0, 36.0, 62.0, 35.0, 45.0, 65.0, 55.0, 38.0, 45.0, 39.0, 54.0, 36.0, 68.0, 65.0]","[3.2222, 3.5714, 3.4615, 4.1628, 4.525, 4.32, 4.2542, 4.75, 4.087, 5.0, 4.3636, 4.8095, 4.2827, 4.5276, 4.163, 4.0339, 3.8125]",12.0,4.19687647059,50.4705882353
Tropolone,3,"[Embryolisse, boscia, Primary Raw]",53.0,6.0,6.0,10.0,5.0,26.0,"[40.0, 46.0, 38.0]","[3.2222, 3.8462, 4.4444]",3.0,3.8376,41.3333333333
